1.0000000, 0.0000000, 0.0000000, 0.0000000 (7,0,0,0)

0.0601073, 0.9398927, 0.0000000, 0.0000000 (1,6,0,0)
0.2042386, 0.7957614, 0.0000000, 0.0000000 (2,5,0,0)
0.3957862, 0.6042138, 0.0000000, 0.0000000 (3,4,0,0)

0.0817370, 0.0817370, 0.8365261, 0.0000000 (1,1,5,0)
0.0968080, 0.2447528, 0.6584392, 0.0000000 (1,2,4,0)
0.1011584, 0.4494208, 0.4494208, 0.0000000 (1,3,3,0)
0.2663399, 0.2663399, 0.4673202, 0.0000000 (2,2,3,0)

0.1046666, 0.1046666, 0.1046666, 0.6860001 (1,1,1,4)
0.1141973, 0.1141973, 0.2830329, 0.4885725 (1,1,2,3)
0.1191069, 0.2936310, 0.2936310, 0.2936310 (1,2,2,2)
